Well,Strain,Biorep,pH
A1,,,NA
A2,,,8.5
A3,,,8.5
A4,,,8.5
A5,,,8.5
A6,,,7
A7,,,7
A8,,,7
A9,,,5.5
A10,,,5.5
A11,,,5.5
A12,,,4
B1,,,NA
B2,KN99a,1,NA
B3,Gat201-M,1,NA
B4,KN99a,1,4
B5,Gat201-M,1,4
B6,KN99a,1,5.5
B7,Gat201-M,1,5.5
B8,KN99a,1,7
B9,Gat201-M,1,7
B10,KN99a,1,8.5
B11,Gat201-M,1,8.5
B12,,,4
C1,,,NA
C2,KN99a,2,NA
C3,Gat201-M,2,NA
C4,KN99a,2,4
C5,Gat201-M,2,4
C6,KN99a,2,5.5
C7,Gat201-M,2,5.5
C8,KN99a,2,7
C9,Gat201-M,2,7
C10,KN99a,2,8.5
C11,Gat201-M,2,8.5
C12,,,4
D1,,,NA
D2,KN99a,3,NA
D3,Gat201-M,3,NA
D4,KN99a,3,4
D5,Gat201-M,3,4
D6,KN99a,3,5.5
D7,Gat201-M,3,5.5
D8,KN99a,3,7
D9,Gat201-M,3,7
D10,KN99a,3,8.5
D11,Gat201-M,3,8.5
D12,,,NA
E1,,,4
E2,C26,1,NA
E3,C30,1,NA
E4,C26,1,4
E5,C30,1,4
E6,C26,1,5.5
E7,C30,1,5.5
E8,C26,1,7
E9,C30,1,7
E10,C26,1,8.5
E11,C30,1,8.5
E12,,,NA
F1,,,4
F2,C26,2,NA
F3,C30,2,NA
F4,C26,2,4
F5,C30,2,4
F6,C26,2,5.5
F7,C30,2,5.5
F8,C26,2,7
F9,C30,2,7
F10,C26,2,8.5
F11,C30,2,8.5
F12,,,NA
G1,,,4
G2,C26,3,NA
G3,C30,3,NA
G4,C26,3,4
G5,C30,3,4
G6,C26,3,5.5
G7,C30,3,5.5
G8,C26,3,7
G9,C30,3,7
G10,C26,3,8.5
G11,C30,3,8.5
G12,,,8.5
H1,,,4
H2,,,5.5
H3,,,5.5
H4,,,5.5
H5,,,5.5
H6,,,7
H7,,,7
H8,,,7
H9,,,7
H10,,,8.5
H11,,,8.5
H12,,,8.5
