Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,36.5,0.161500007,0.436800003,0.4375,0.43779999,0.438699991,0.310000002,0.312700003,0.313699991,0.292499989,0.291599989,0.290600002,0.292100012,0.162200004,0.187399998,0.190500006,0.31099999,0.313699991,0.308999985,0.3116,0.330000013,0.334199995,0.450800002,0.453999996,0.291999996,0.162400007,0.187900007,0.188600004,0.314200014,0.315600008,0.310699999,0.308999985,0.328200012,0.32980001,0.451900005,0.450599998,0.293500006,0.164499998,0.189400002,0.189099997,0.315600008,0.31310001,0.312999994,0.307900012,0.331200004,0.328099996,0.45480001,0.447400004,0.162699997,0.293799996,0.1884,0.188299999,0.308800012,0.293000013,0.310099989,0.307200015,0.330799997,0.328200012,0.452499986,0.451700002,0.161400005,0.292899996,0.184200004,0.189899996,0.292100012,0.288899988,0.312099993,0.291799992,0.329100013,0.346100003,0.449099988,0.450300008,0.160600007,0.291200012,0.1884,0.187700003,0.291999996,0.290800005,0.310900003,0.309500009,0.331499994,0.332199991,0.454699993,0.448599994,0.436199993,0.294999987,0.291200012,0.292400002,0.293599993,0.295100003,0.311800003,0.310299993,0.312299997,0.31220001,0.436500013,0.438600004,0.4366
618.9,37,0.161200002,0.435000002,0.435299993,0.435600013,0.436199993,0.309500009,0.311300009,0.312999994,0.291799992,0.290899992,0.289999992,0.289799988,0.162300006,0.188500002,0.1919,0.311199993,0.313499987,0.309599996,0.312900007,0.330000013,0.335500002,0.450500011,0.453000009,0.292299986,0.162200004,0.189799994,0.190400004,0.314799994,0.319200009,0.3125,0.310799986,0.330300003,0.331800014,0.451900005,0.450700015,0.292600006,0.164399996,0.191100001,0.190500006,0.31400001,0.314700007,0.31189999,0.309500009,0.332399994,0.32949999,0.453700006,0.446399987,0.162900001,0.292100012,0.189300001,0.189500004,0.309100002,0.29519999,0.311300009,0.308299989,0.332599998,0.329699993,0.451799989,0.451200008,0.161200002,0.292499989,0.185100004,0.190799996,0.291999996,0.289400011,0.312900007,0.291200012,0.330500007,0.34830001,0.448799998,0.449800014,0.160799995,0.289999992,0.189300001,0.189199999,0.293000013,0.291299999,0.312299997,0.311199993,0.332899988,0.333099991,0.454299986,0.44749999,0.434399992,0.29460001,0.288800001,0.289799988,0.290699989,0.291799992,0.310600013,0.309100002,0.31099999,0.311199993,0.434899986,0.436699986,0.434599996
1237.8,37.1,0.161200002,0.433200002,0.433200002,0.433699995,0.434399992,0.309100002,0.310799986,0.3125,0.291299999,0.290399998,0.289600015,0.289299995,0.162100002,0.192000002,0.1954,0.311300009,0.317000002,0.31189999,0.315200001,0.331699997,0.337900013,0.449800014,0.452499986,0.289700001,0.162200004,0.193000004,0.193299994,0.317900002,0.324000001,0.314399987,0.312900007,0.332599998,0.334600002,0.451799989,0.450800002,0.29370001,0.164399996,0.193900004,0.193499997,0.315699995,0.323000014,0.315499991,0.311500013,0.334899992,0.332199991,0.453799993,0.446500003,0.162200004,0.291700006,0.191599995,0.191599995,0.310200006,0.296400011,0.313699991,0.310099989,0.334500015,0.331800014,0.451400012,0.450500011,0.1611,0.291000009,0.187600002,0.193100005,0.292800009,0.290399998,0.314900011,0.291000009,0.332199991,0.350800008,0.448300004,0.448900014,0.160799995,0.289600015,0.191300005,0.191499993,0.293799996,0.292499989,0.314399987,0.312999994,0.334699988,0.334300011,0.453999996,0.447100013,0.432700008,0.294200003,0.288700014,0.289400011,0.291099995,0.291900009,0.310499996,0.309399992,0.310499996,0.311100006,0.433400005,0.434899986,0.432999998
1856.7,37.2,0.161500007,0.431199998,0.431199998,0.431800008,0.432399988,0.308600008,0.309899986,0.312000006,0.290800005,0.290100008,0.289600015,0.287299991,0.161699995,0.195500001,0.198799998,0.31220001,0.319700003,0.315299988,0.318399996,0.334399998,0.340999991,0.450500011,0.452600002,0.289099991,0.162400007,0.196600005,0.197300002,0.319599986,0.328200012,0.316900015,0.315899998,0.335299999,0.337900013,0.452300012,0.451200008,0.292600006,0.164399996,0.197600007,0.197500005,0.317000002,0.329299986,0.317000002,0.315400004,0.337500006,0.335599989,0.453999996,0.446700007,0.162100002,0.291999996,0.195199996,0.1954,0.311699986,0.297800004,0.316199988,0.312599987,0.337000012,0.334399998,0.451700002,0.450399995,0.160899997,0.291200012,0.190599993,0.196700007,0.293199986,0.291000009,0.316399992,0.290800005,0.333799988,0.354000002,0.448500007,0.448900014,0.160600007,0.289999992,0.194600001,0.194900006,0.29550001,0.294200003,0.316799998,0.315800011,0.336800009,0.337199986,0.454400003,0.447100013,0.431100011,0.293500006,0.288199991,0.289200008,0.289799988,0.290899992,0.309700012,0.308499992,0.309700012,0.310400009,0.431699991,0.432799995,0.431100011
2475.6,36.8,0.161500007,0.429500014,0.429399997,0.430099994,0.430599988,0.308299989,0.309399992,0.311500013,0.290499985,0.289700001,0.289299995,0.287499994,0.162200004,0.1998,0.203400001,0.313499987,0.323300004,0.318100005,0.32159999,0.337399989,0.344500005,0.451099992,0.453999996,0.289200008,0.162599996,0.2007,0.201399997,0.321799994,0.332199991,0.319900006,0.319000006,0.338200003,0.341399997,0.452600002,0.452600002,0.291200012,0.164299995,0.2016,0.201399997,0.319900006,0.334699988,0.319999993,0.319700003,0.340499997,0.338800013,0.45449999,0.448100001,0.162,0.291599989,0.199100003,0.199399993,0.314500004,0.299899995,0.319200009,0.315699995,0.340499997,0.337300003,0.452199996,0.451299995,0.1611,0.291200012,0.194399998,0.200900003,0.295100003,0.292400002,0.319200009,0.290399998,0.337000012,0.358700007,0.449099988,0.449600011,0.160699993,0.289400011,0.198400006,0.198799998,0.297100008,0.296499997,0.3204,0.318899989,0.339899987,0.34040001,0.454299986,0.44749999,0.429399997,0.293500006,0.287999988,0.289000005,0.289299995,0.290699989,0.309199989,0.307999998,0.309100002,0.309899986,0.429899991,0.431100011,0.429100007
3094.5,37.1,0.161300004,0.427599996,0.427700013,0.42840001,0.4287,0.307900012,0.308800012,0.311100006,0.290399998,0.289499998,0.289299995,0.287200004,0.162,0.203899994,0.207399994,0.315200001,0.326999992,0.320499986,0.324800014,0.340499997,0.3486,0.452100009,0.454400003,0.288700014,0.162599996,0.204699993,0.205699995,0.324699998,0.336199999,0.32249999,0.32190001,0.341399997,0.345299989,0.453599989,0.453000009,0.290800005,0.164199993,0.205799997,0.205699995,0.322600007,0.339399993,0.32249999,0.324400008,0.343499988,0.342200011,0.4551,0.448799998,0.162,0.291500002,0.203500003,0.202900007,0.316700011,0.301899999,0.321700007,0.319099993,0.343600005,0.340600014,0.452800006,0.451999992,0.161200002,0.291399986,0.198400006,0.204899997,0.297500014,0.29550001,0.322100013,0.290499985,0.339899987,0.362500012,0.449900001,0.450500011,0.160999998,0.289000005,0.202099994,0.202800006,0.298799992,0.298299998,0.323700011,0.321500003,0.342999995,0.343499988,0.455500007,0.448399991,0.427700013,0.29429999,0.287900001,0.288700014,0.289200008,0.290499985,0.308999985,0.307799995,0.309199989,0.309599996,0.428499997,0.429699987,0.427599996
3713.4,37.2,0.161799997,0.425900012,0.425999999,0.426699996,0.427100003,0.307599992,0.308299989,0.310600013,0.289999992,0.289299995,0.289499998,0.286500007,0.162200004,0.207499996,0.211300001,0.316900015,0.329100013,0.323799998,0.327199996,0.342999995,0.351200014,0.452399999,0.455300003,0.287900001,0.162400007,0.208299994,0.209399998,0.326999992,0.338999987,0.325100005,0.324000001,0.344000012,0.349000007,0.454100013,0.4542,0.290800005,0.164499998,0.209700003,0.209900007,0.326000005,0.340999991,0.324299991,0.327899992,0.346300006,0.345099986,0.45570001,0.449699998,0.161899999,0.290300012,0.207300007,0.206699997,0.316599995,0.3037,0.324000001,0.321799994,0.34740001,0.343100011,0.453599989,0.452499986,0.1611,0.293300003,0.202000007,0.208800003,0.299899995,0.297100008,0.324699998,0.290199995,0.342799991,0.366699994,0.450599998,0.450899988,0.1611,0.289099991,0.206200004,0.206400007,0.300900012,0.299699992,0.326099992,0.325300008,0.346300006,0.346399993,0.456,0.449600011,0.426099986,0.295399994,0.287499994,0.288300008,0.288899988,0.290199995,0.308499992,0.307300001,0.308400005,0.309399992,0.426699996,0.427899987,0.425799996
4332.4,37.1,0.161899999,0.424299985,0.424400002,0.425000012,0.425500005,0.307200015,0.307999998,0.310400009,0.289799988,0.289299995,0.289400011,0.286000013,0.161899999,0.210899994,0.215399995,0.319299996,0.330199987,0.325199991,0.329600006,0.345099986,0.354699999,0.453599989,0.45660001,0.286300004,0.162599996,0.211899996,0.213300005,0.329100013,0.340299994,0.327499986,0.326700002,0.346799999,0.352800012,0.454899997,0.455000013,0.290499985,0.164399996,0.213400006,0.213699996,0.327899992,0.342900008,0.327199996,0.331999987,0.349299997,0.3486,0.45629999,0.451099992,0.161899999,0.290399998,0.211500004,0.210500002,0.318300009,0.304699987,0.326999992,0.324200004,0.349799991,0.346700013,0.4542,0.453399986,0.1611,0.297800004,0.205699995,0.212599993,0.301600009,0.298700005,0.326400012,0.289999992,0.345400006,0.371100008,0.451400012,0.451700002,0.160999998,0.287,0.209999993,0.210600004,0.302399993,0.301999986,0.328599989,0.328000009,0.349299997,0.34920001,0.456999987,0.450100005,0.424699992,0.29460001,0.287499994,0.288300008,0.288800001,0.290100008,0.308299989,0.307300001,0.308299989,0.309199989,0.425599992,0.426499993,0.424600005
4951.3,37,0.161699995,0.422699988,0.423099995,0.423599988,0.423999995,0.307000011,0.307599992,0.309899986,0.289799988,0.289099991,0.289400011,0.2861,0.162200004,0.213799998,0.218899995,0.321099997,0.332100004,0.326200008,0.331400007,0.34740001,0.35769999,0.454100013,0.457399994,0.286300004,0.162799999,0.215000004,0.216900006,0.331099987,0.341300011,0.329400003,0.329299986,0.3495,0.356000006,0.455500007,0.455900013,0.291000009,0.164199993,0.216199994,0.217099994,0.330199987,0.343899995,0.328900009,0.335500002,0.351799995,0.351099998,0.456900001,0.451799989,0.161799997,0.289499998,0.214900002,0.2139,0.319299996,0.306600004,0.328299999,0.326299995,0.352899998,0.348399997,0.4551,0.453900009,0.160999998,0.294200003,0.208900005,0.216499999,0.302599996,0.300500005,0.328799993,0.289900005,0.347799987,0.374599993,0.452100009,0.452800006,0.160799995,0.287,0.213699996,0.214200005,0.303799987,0.30309999,0.331800014,0.329400003,0.351900011,0.352499992,0.458099991,0.451200008,0.423000008,0.292499989,0.287099987,0.288100004,0.288500011,0.289900005,0.307700008,0.306699991,0.307999998,0.308800012,0.423799992,0.424899995,0.422800004
5570.2,37.1,0.161899999,0.421400011,0.421499997,0.422100008,0.422500014,0.306699991,0.307300001,0.309599996,0.289700001,0.289000005,0.289299995,0.28670001,0.162200004,0.216199994,0.222000003,0.32280001,0.332599998,0.328099996,0.333099991,0.349299997,0.359800011,0.454600006,0.458600014,0.285600007,0.162699997,0.217600003,0.219999999,0.332899988,0.342799991,0.330799997,0.331200004,0.351900011,0.359200001,0.456,0.456999987,0.290399998,0.164299995,0.219400004,0.220500007,0.33070001,0.344999999,0.331400007,0.339100003,0.354699999,0.354099989,0.457599998,0.453000009,0.161899999,0.288399994,0.218600005,0.217199996,0.320499986,0.307999998,0.33070001,0.328399986,0.355500013,0.351000011,0.455799997,0.45480001,0.161200002,0.291000009,0.212300003,0.219400004,0.30399999,0.302100003,0.330799997,0.289900005,0.350800008,0.378399998,0.453099996,0.453099996,0.160799995,0.287999988,0.216999993,0.217700005,0.305000007,0.304500014,0.333499998,0.332300007,0.354499996,0.35589999,0.459199995,0.452100009,0.421900004,0.291399986,0.286900014,0.287900001,0.288399994,0.289700001,0.307500005,0.306400001,0.307700008,0.308699995,0.422399998,0.423599988,0.421299994
